record,operation,framing,approach,median_ns,ns_per_element,ns_per_byte
simple,decode,value,tinyklv,10.2,10.18,0.2078
simple,decode,value,manual,10.0,9.98,0.2038
simple,decode,value,serde_klv,74.0,73.99,1.1211
simple,decode,value,tlv_parser,521.4,521.39,10.2233
simple,decode,value,prost,26.0,25.97,0.5526
simple,decode,value,quick_protobuf,29.5,29.47,0.5667
simple,decode,value,rust_protobuf,30.6,30.63,0.6517
simple,decode,value,micropb,35.2,35.19,0.7488
simple,decode,frame,tinyklv,13.8,13.85,0.2663
simple,decode,frame,manual,10.5,10.45,0.201
simple,decode,frame,serde_klv,74.2,74.23,1.0758
simple,decode,frame,tlv_parser,511.8,511.83,9.4784
simple,decode,frame,prost,26.4,26.4,0.528
simple,decode,frame,quick_protobuf,30.0,30.02,0.5458
simple,decode,frame,rust_protobuf,30.8,30.75,0.6151
simple,decode,frame,micropb,34.6,34.61,0.6921
simple,decode,streamed,tinyklv,2114.6,33.04,0.5006
simple,decode,streamed,manual,967.7,15.12,0.2291
simple,decode,streamed,serde_klv,5113.1,79.89,0.9626
simple,decode,streamed,tlv_parser,33290.2,520.16,7.6494
simple,decode,streamed,prost,2121.7,33.15,0.518
simple,decode,streamed,quick_protobuf,2185.3,34.15,0.4949
simple,decode,streamed,rust_protobuf,2345.9,36.65,0.5727
simple,decode,streamed,micropb,2667.2,41.67,0.6512
simple,encode,value,tinyklv,15.9,15.87,0.3239
simple,encode,value,manual,71.7,71.68,1.4628
simple,encode,value,serde_klv,216.5,216.52,3.2807
simple,encode,value,tlv_parser,409.7,409.66,8.0326
simple,encode,value,prost,22.0,21.95,0.467
simple,encode,value,quick_protobuf,71.0,71.01,1.3655
simple,encode,value,rust_protobuf,33.3,33.29,0.7082
simple,encode,value,micropb,68.6,68.56,1.4587
simple,encode,frame,tinyklv,38.9,38.92,0.7485
simple,encode,frame,manual,81.3,81.32,1.5638
simple,encode,frame,serde_klv,223.0,223.0,3.2319
simple,encode,frame,tlv_parser,419.1,419.08,7.7608
simple,encode,frame,prost,26.9,26.86,0.5371
simple,encode,frame,quick_protobuf,77.4,77.37,1.4068
simple,encode,frame,rust_protobuf,39.7,39.68,0.7936
simple,encode,frame,micropb,88.5,88.5,1.77
compound,decode,value,tinyklv,21.4,21.45,0.2494
compound,decode,value,manual,19.3,19.3,0.2244
compound,decode,value,serde_klv,107.5,107.48,1.0642
compound,decode,value,tlv_parser,756.4,756.37,8.5952
compound,decode,value,prost,124.9,124.87,1.2364
compound,decode,value,quick_protobuf,134.5,134.45,1.3312
compound,decode,value,rust_protobuf,155.7,155.74,1.5419
compound,decode,value,micropb,133.7,133.69,1.3236
compound,decode,frame,tinyklv,26.1,26.06,0.2928
compound,decode,frame,manual,19.6,19.58,0.2199
compound,decode,frame,serde_klv,108.5,108.54,1.0436
compound,decode,frame,tlv_parser,755.4,755.45,8.3016
compound,decode,frame,prost,124.2,124.19,1.1941
compound,decode,frame,quick_protobuf,131.8,131.81,1.2674
compound,decode,frame,rust_protobuf,159.2,159.18,1.5306
